Valve Type,FCC Model ,Trim Type,Flow Char,Flow Dir,Unbal. / Bal.,Rating,Valve Size,Seat Bore ,Travel,Co-efficients,10,20,30,40,50,60,70,80,90,100,P_ID,P_ID2,
butterfly,20,do,mod_equal,down,N/A,300,12,12,90,FL,0.8,0.86,0.87,0.8,0.75,0.66,0.55,0.5,0.48,0.48,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#12#90#12,
butterfly,20,do,mod_equal,down,N/A,300,12,12,90,Xt,0.451,0.636,0.595,0.494,0.414,0.303,0.217,0.167,0.138,0.138,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#12#90#12,
butterfly,20,do,mod_equal,down,N/A,300,12,12,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#12#90#12,
butterfly,20,do,mod_equal,down,N/A,300,14,14,90,Cv,190,440,754,1228,1884,2666,3836,4465,4952,4952,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#14#90#14,
butterfly,20,do,mod_equal,down,N/A,300,14,14,90,FL,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#14#90#14,
butterfly,20,do,mod_equal,down,N/A,300,14,14,90,Xt,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23,0.23,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#14#90#14,
butterfly,20,do,mod_equal,down,N/A,300,14,14,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#14#90#14,
butterfly,20,do,mod_equal,down,N/A,300,16,16,90,Cv,256,571,1081,1732,2611,3652,5492,7250,7663,7663,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#16#90#16,
butterfly,20,do,mod_equal,down,N/A,300,16,16,90,FL,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52,0.52,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#16#90#16,
butterfly,20,do,mod_equal,down,N/A,300,16,16,90,Xt,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23,0.23,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#16#90#16,
